,Sampling p(meas = 1),# wrong decisions p0.01,# wrong decisions p0.05,# wrong decisions p0.08,# wrong decisions p0.11,# wrong decisions p0.15,# wrong decisions p0.2,# wrong decisions p0.3,# wrong decisions p0.4,# wrong decisions p0.5,# wrong decisions p0.6,# wrong decisions p0.7,# wrong decisions p0.8,# wrong decisions p0.9,# wrong decisions p1.0
circuit017.qasm,0.17233495705504537,0.36,0.4,0.33,0.39,0.4,0.42,0.4,0.51,0.58,0.56,0.51,0.51,0.61,0.74
circuit318.qasm,0.7209708691207957,0.36,0.43,0.31,0.36,0.45,0.38,0.41,0.48,0.53,0.54,0.63,0.59,0.7,0.66
circuit018.qasm,0.35747936963188054,0.23,0.21,0.32,0.2,0.32,0.37,0.43,0.44,0.45,0.57,0.6,0.66,0.71,0.69
circuit038.qasm,0.3943831319696847,0.27,0.25,0.3,0.33,0.28,0.38,0.41,0.4,0.54,0.56,0.58,0.58,0.71,0.68
circuit789.qasm,0.6778184500097124,0.41,0.33,0.4,0.4,0.42,0.49,0.45,0.52,0.48,0.49,0.54,0.66,0.65,0.6
circuit394.qasm,0.38177146759962677,0.39,0.43,0.36,0.38,0.4,0.45,0.44,0.52,0.51,0.6,0.58,0.56,0.55,0.66
circuit899.qasm,0.3308058261758411,0.42,0.36,0.46,0.35,0.43,0.48,0.46,0.43,0.51,0.45,0.55,0.69,0.64,0.61
circuit201.qasm,0.7271177172801987,0.11,0.14,0.17,0.25,0.24,0.34,0.37,0.5,0.47,0.58,0.62,0.68,0.74,0.89
circuit435.qasm,0.6876626193763378,0.34,0.37,0.4,0.42,0.39,0.44,0.42,0.42,0.55,0.53,0.57,0.6,0.69,0.66
circuit591.qasm,0.6045685649285174,0.28,0.27,0.49,0.32,0.37,0.37,0.41,0.42,0.52,0.58,0.5,0.65,0.59,0.7
circuit078.qasm,0.8383883476483178,0.09,0.08,0.18,0.12,0.21,0.24,0.34,0.41,0.46,0.64,0.67,0.79,0.88,0.94
circuit121.qasm,0.3887293696318808,0.42,0.29,0.32,0.42,0.37,0.29,0.39,0.5,0.47,0.57,0.65,0.66,0.64,0.66
circuit580.qasm,0.12081614135990115,0.38,0.33,0.41,0.38,0.42,0.43,0.48,0.38,0.42,0.6,0.52,0.54,0.63,0.64
circuit651.qasm,0.6767766952966366,0.29,0.31,0.36,0.36,0.37,0.33,0.48,0.46,0.51,0.58,0.5,0.66,0.69,0.69
