,Sampling p(meas = 1),# wrong decisions p0.05,# wrong decisions p0.1,# wrong decisions p0.2,# wrong decisions p0.3,# wrong decisions p0.4,# wrong decisions p0.5,# wrong decisions p0.6,# wrong decisions p0.7,# wrong decisions p0.8,# wrong decisions p0.9,# wrong decisions p1.0
circuit200.qasm,0.6639236956799499,32.0,35.0,28.0,33.0,35.0,39.0,36.0,42.0,45.0,37.0,46.0
circuit201.qasm,0.7271177172801987,29.0,26.0,30.0,27.0,31.0,28.0,31.0,35.0,34.0,27.0,38.0
circuit202.qasm,0.2995558261758411,35.0,35.0,26.0,34.0,30.0,34.0,29.0,30.0,46.0,30.0,39.0
circuit210.qasm,0.6483225107362383,40.0,34.0,37.0,33.0,38.0,32.0,34.0,36.0,40.0,48.0,38.0
circuit212.qasm,0.7163492924096972,30.0,29.0,22.0,42.0,40.0,28.0,34.0,36.0,26.0,46.0,37.0
circuit214.qasm,0.3986674785275226,36.0,48.0,51.0,45.0,33.0,45.0,36.0,42.0,44.0,37.0,47.0
circuit215.qasm,0.853553390593273,17.0,16.0,15.0,22.0,24.0,24.0,29.0,23.0,23.0,24.0,24.0
circuit216.qasm,0.8535533905932731,11.0,16.0,25.0,23.0,15.0,19.0,17.0,25.0,26.0,32.0,37.0
circuit224.qasm,0.294424152351682,23.0,37.0,31.0,36.0,32.0,24.0,29.0,42.0,30.0,31.0,39.0
circuit231.qasm,0.39330582617584103,40.0,40.0,43.0,35.0,33.0,36.0,37.0,44.0,37.0,45.0,59.0
circuit232.qasm,0.3777621358640101,50.0,41.0,50.0,40.0,42.0,35.0,42.0,41.0,45.0,39.0,43.0
circuit234.qasm,0.6727891356084676,41.0,29.0,33.0,37.0,38.0,43.0,41.0,48.0,42.0,46.0,45.0
circuit237.qasm,0.7567496955521787,16.0,24.0,24.0,32.0,22.0,33.0,25.0,33.0,35.0,39.0,37.0
circuit240.qasm,0.3719602554958907,39.0,42.0,42.0,39.0,37.0,45.0,49.0,47.0,41.0,52.0,44.0
circuit241.qasm,0.1288684844067267,15.0,14.0,14.0,17.0,17.0,22.0,18.0,24.0,24.0,27.0,18.0
circuit242.qasm,0.7196978151840594,33.0,28.0,30.0,28.0,34.0,36.0,38.0,43.0,25.0,37.0,34.0
circuit243.qasm,0.6249999999999997,34.0,42.0,46.0,40.0,43.0,35.0,40.0,41.0,39.0,41.0,35.0
circuit244.qasm,0.24777913087920445,24.0,29.0,27.0,31.0,37.0,37.0,33.0,37.0,27.0,32.0,32.0
